Title,Artist,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time signature,Chorus Hit,Sections,Target,Lyrics
Wild Things,Alessia Cara,spotify:track:2ZyuwVvV6Z3XJaXIFbspeE,0.741,0.626,1,-4.826,0,0.0886,0.02,0,0.0828,0.706,108.029,188493,4,41.18681,10,1,"Find table spaces
Say your social graces
Bow your head, they're pious here
But you and I, we're pioneers
We make our own rules
Our own room, no bias here
Let 'em sell what they are sellin'
There are no buyers here
So gather all the rebels now
We'll rebel rouse and sing aloud
We don't care what they say no way, no way
And we will leave the empty chairs
To those who say we can't sit there
We're fine all by ourselves

So aye, we brought our drum and this is how we dance
No mistakin', we make our breaks, if you don't like our 808s
Then leave us alone, cause we don't need your policies
We have no apologies for being"
Love Someone,Lukas Graham,spotify:track:2JqnpexlO9dmvjUMCaLCLJ,0.55,0.415,9,-6.557,0,0.052,0.161,0,0.108,0.274,172.065,205463,4,44.89147,9,1,"There are days
I wake up and I pinch myself
You're with me, not someone else
And I am scared, yeah, I'm still scared
That it's all a dream

'Cause you still look perfect as days go by
Even the worst ones, you make me smile
I'd stop the world if it gave us time

'Cause when you love someone
You open up your heart
When you love someone
You make room
If you love someone
And you're not afraid to lose 'em
You probably never loved someone like I do
You probably never loved someone like I do
"
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,spotify:track:1lItf5ZXJc1by9SbPeljFd,0.807,0.887,1,-3.892,1,0.275,0.00381,0,0.391,0.78,160.517,144244,4,24.99199,8,1,"Do that one dance baby
That, that one dance
Yeah, oh
You don't know how to do that?
Baby do it for your grandma
Come on, I'm old and I'm trying to learn it
Well yeah, do it

Oh my god, oh my god. Girl ain't that Zay and Zayion?
Yas
Don't both of 'em got a girlfriend?
Girl I don't care
I don't care girl, he still cute
Oh yes

Walked in this party
And these girls lookin' at me
Skinny jeans on and you know my hair nappy
Hey, hey, hey
Okay, okay
I want y'all do it, do this dance now

JuJu on the beat
JuJu on that beat
JuJu on that, JuJu on that, JuJu on that beat
"
Here's To Never Growing Up,Avril Lavigne,spotify:track:0qwcGscxUHGZTgq0zcaqk1,0.482,0.873,0,-3.145,1,0.0853,0.0111,0,0.409,0.737,165.084,214320,4,32.17301,12,1,"Singing radiohead at the top of our lungs
With the boom box blaring as we're falling in love
I got a bottle of whatever, but it's gettin' us drunk
Singing here's to never growing up

Call up all our friends, go hard this weekend
For no damn reason, I don't think we'll ever change
Meet you at the spot, half past ten o'clock
We don't ever stop, and we're never gonna change

Say, won't you stay forever, stay
If you stay forever, hey
We can stay forever young

Singing radiohead at the top of our lungs
With the boom box blaring as we're falling in love
I got a bottle of whatever, but it's gettin' us drunk
Singing here's to never growing up

We'll be running down the street, yelling ""Kiss my ass""
I'm like yeah whatever, we're still living like that
When the sun's going down, we'll be raising our cups
"
Sex Metal Barbie,In This Moment,spotify:track:75BGF4LC7AOLFfxn6ukZDH,0.533,0.935,0,-3.704,1,0.128,0.0139,0,0.168,0.481,140.092,262493,4,21.0451,14,0,"Excuse me, can you tell me what you've heard about my life?
Maybe a dirty little fairy tale, a girl of the night
I've heard that I grew up filthy, a trailer park queen
Dropout, pregnant, statistical teen

I know you've heard about the bloody knife
About my daddy's perfect virgin and my mothers wife
You know I heard I don't belong in this game
Still you hold your hands in the air, screaming my name, LET'S GO!

Baby go ahead, I'll be your hatred and your pain

This is killing us all, I don't care if I fall we're the daring, we are the damned.
Baby go ahead, I'll be the villain you can blame
I'll be the belle of the brawl, be the lust in us all

I'm the diva of the damned.
I heard I don't belong in this scene
"
Helluva Night,Ludacris,spotify:track:0flKDWZq11997Fb2ptkQvu,0.736,0.522,2,-8.02,1,0.116,0.0299,0,0.108,0.369,97.547,200387,4,60.21027,10,1,"It's about to be a hell of a night
It's about to be a hell of a night
It's about to be a hell of a night
Mustard on the beat, ho
Luda!

Rollin down the highway
Nothing for me to do but smoke, it's habitual Friday
Break it down, spread it out, nigga roll up
And let's see what they about, call them hoes up
Ludacris, man these bitches want my last name
Sippin slow but I'm drivin all in the fast lane
Get the fuck up out my way, man, move bitch
And hoodie yappin if you never wanna do shit
I'm all about it, get yo mind right
Been making money since before I was in the lime light
Grind like – bitch, wussup!
Top down but I feel like getting fucked up
I get high but the bass low
A real nigga, watch a woman wanna shake fo
When you shake it for a baller better shake it right
'Cause it's about to be a hell of a night

It's about to be a hell of a night
It's about to be a hell of a night
It's about to be a hell of a night
It's about to be a hell of a night

I'm fucked up – I'm fucked up
I'm fucked up – I'm fucked up
"
Break Up In The End,Cole Swindell,spotify:track:5Z19ylxppfnfdP4JH0u8oj,0.507,0.372,1,-8.433,1,0.0303,0.481,0,0.271,0.257,86.422,199693,4,36.66287,10,1,"I'd still walk in that bar a little drunk
I'd still ask you what you're drinking, what's your name
I'd still kiss you by the shuffleboard, last call at 2:00 a.m.
Even though we break up in the end

I'd introduce you to my mom and dad
Say ""I think I love her"" when you leave that room
I'd still not take their advice when I say you're moving in
Even though we break up in the end

Even if I knew you'd be the one that got away
I'd still go back and get you
"
Crawling Back To You,Daughtry,spotify:track:6BDtTzjbJ5kKKSWcJT8MlX,0.438,0.919,0,-2.91,0,0.0495,0.00674,0,0.158,0.195,151.026,225813,4,34.01444,8,1,"Lessons learned and bridges burned to the ground
And it's too late now to put out the fire
Tables turned
And I'm the one who's burning now
Well I'm doing all right till I close my eyes
And then I see your face and it's no surprise

Just like that, I'm crawling back to you
Just like you said I would, yeah
Swallow my pride, I'm crawling back to you
Yeah, I'm out of my head, can't wait any longer
I'm down on my knees, I thought I was stronger
Just like that, like you said I'd do
Yeah, I'm crawling back to you

Time can heal, but the scars only hide the way you feel
"
Squidwards Nose (feat. Kg Prince),Joey Trap,spotify:track:2hLhiONy3FcndFJc2CiC2e,0.634,0.88,1,-1.714,1,0.293,0.169,0,0.474,0.548,150.959,119249,4,37.52226,5,0,"Will you let go of that stupid pizza already?!
I can't, it's for the customer!
Who cares about the customer?!
I do!
Well, I don't! (Maxo)
*Gasp* Squidward"
Windshield,Greensky Bluegrass,spotify:track:7GI1Weh21oGJYeSbrtOyR1,0.48,0.548,0,-9.119,1,0.0328,0.627,0.00502,0.205,0.322,90.109,224853,4,24.45777,9,0,"I don't know how I'm feelin' and no-one can verify
If everything is working properly, cuz it's all inside
And there's something on the windshield but I can't fucking see
Besides, no-one volunteered to drive me

Solo

Are you looking out for me
Or am I left to be without you(?)
It Could be years of the Sadest ryhmes
"
Faster,Matt Nathanson,spotify:track:6plKFdrBnKF0y3CRuceTDh,0.742,0.853,9,-4.147,1,0.0393,0.00743,4.79E-06,0.332,0.95,107.03,208280,4,43.42073,10,1,"You're so delicious, you're so soft
Sweet on the tip of my tongue
You taste like sunlight
And strawberry bubble gum

You bite my lip
You spike my blood
And you make my heart beat faster

Own me, you own, and rattle my bones
You turn me over and over, 'til I can't control myself
Make me a liar, yeah, one big disaster
You make my heart beat faster

It's the way you swell, slow
"
Art House Director,Broken Social Scene,spotify:track:5feuZknKlJYGMPvWvKrpwt,0.464,0.766,7,-5.298,1,0.041,0.000122,0.0275,0.544,0.335,130.458,212173,5,105.47915,6,0,"Art house director,
Art house director,
We've lost magic flavor (?) 'till tomorrow night.
Art house director,
Art house director,
Make the waters part into an empty heart.
Is life a joke?
Every step of the way.
Is there something coax (?)
The truth of the day
Defeat deflector,
Defeat deflector,
Rushes will not lie, I swear this is your God (?).
And the starlet is a harlot,
She does not leave the trailer,
She thinks that?,
"
