track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,Lyrics
Clouds Of Dementia,Candlemass,spotify:track:6cHZf7RbxXCKwEkgAZT4mY,0.162,0.836,9,-3.009,1,0.0473,0.000111,0.00457,0.174,0.3,86.964,338893,4,65.32887,13,0,"Jaded and demented
In the attic the bonemen soared
I slammed the door behind me
Reality was no more

The screams of the demented
Follows me where I go
A secret door I entered
Leads to the everflow... oh no...

And the days before sunrise are the worst
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
I Got A Feelin',Billy Currington,spotify:track:1tF370eYXUcWwkIvaq3IGz,0.63,0.764,2,-4.353,1,0.0275,0.363,0,0.125,0.631,112.098,193760,4,22.62384,10,1,"I don't wanna rush this thing
I don't wanna jump the gun
I really wanna say those three little words
But I'm gonna bite my tongue

Yeah, I'm just gonna lay on back
Leave it on cruise control
I'm gonna hold it all inside
'Til the right time comes down the road

I got a feelin'
My head's a reelin'
My heart is screamin'
I'm about to bust loose
Bottled up emotion
It's more than a notion
It starts with an ""I""
And ends with a ""U""
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Nothin' To Die For,Tim McGraw,spotify:track:3lRSz6HujrSy9b3LXg2Kq9,0.481,0.786,10,-5.654,1,0.0288,0.0538,0,0.0759,0.389,153.105,253640,4,19.65701,11,1,"Stopped to have a few at five
Now you're crossing that center line for the third time
Second time like this, this week
Had a friend ask you for your keys, you said, ""No I'm fine""

You sure do act like
You ain't got a thing to lose
But every car you pass
Might be the one's you take with you

You'd give your last breath to your wife
Take a bullet for your kids
Lay your life down for your country
For your Jesus, for your friends

There's a whole lot of things
You say you're living for
Well you've got to fight it somehow
Stop and turn around
'Cause this ain't nothin' to die for

...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
I Want to Know Your Plans,Say Anything,spotify:track:3pjnCLIHbRczUjenWOEo56,0.647,0.324,7,-9.679,1,0.0377,0.354,0,0.115,0.344,124.213,314286,3,32.66343,16,0,"I want to know your plans
And how involved in them I am
When I go to sleep for good
Will I be forgiven
And if you want roses
You can go buy a bouquet
If that just won't cut it
Well, what can I say?

You're what keeps me believing
The world's not gone dead
Strength in my bones
Put the words in my head
When they pour out to paper
It's all for you
'Cause that's what you do
That's what you do.

...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Amarillo Sky,Jason Aldean,spotify:track:0axUHkhMMY0YSC1jFBVWqv,0.491,0.776,2,-3.887,1,0.0393,0.314,0,0.146,0.428,154.988,202547,4,37.86861,9,1,"He gets up before the dawn
Packs a lunch and a thermos full of coffee
It's another day in the dusty haze
Those burnin' rays are wearing down his body

And diesel's worth the price of gold
It's the cheapest grain he's ever sold
But he's still holding on

He just takes the tractor another round
And pulls the plow across the ground
And sends up another prayer
He says, ""Lord, I never complain, I never ask why
But please don't let my dream to run dry
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Gin And Juice,Hot Rod Circuit,spotify:track:1xthH0Ze4FYo2y99QuJUUj,0.455,0.737,1,-6.206,1,0.0272,0.00114,0.000487,0.195,0.206,94.028,224053,4,62.77759,9,0,"With so much drama in the L-B-C
It's kinda hard bein Snoop D-O-double-G
But I, somehow, some way
Keep comin up with funky ass shit like every single day
May I, kick a little something for the G's (yeah)
And, make a few ends as (yeah!) I breeze, through
Two in the mornin and the party's still jumpin
Cause my momma ain't home
I got bitches in the living room gettin it on
And, they ain't leavin til six in the mornin (six in the mornin)
So what you wanna do, sheeeit
I got a pocket full of rubbers and my homeboys do too
So turn off the lights and close the doors
But (but what) we don't love them hoes, yeah!
So we gonna smoke a ounce to this
G's up, hoes down, while you motherfuckers bounce to this

Rollin down the street, smokin endo, sippin on gin and juice
Laid back (with my mind on my money and my money on my mind)

Rollin down the street, smokin endo, sippin on gin and juice
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Six-Pack Summer,Phil Vassar,spotify:track:23qDMWnwf8p0pr5slljB6i,0.725,0.733,0,-6.66,1,0.0242,0.508,0,0.173,0.843,100.311,219827,4,27.0663,8,1,"(Phil Vassar, Charlie Black, Tommy Rocco)

(Beer opening and laughs)

(That's right) Winter sure was cold and miserable
Cooped up, shut down, baby it was pitiful
Anyhow, it's over now
We owe to ourselves to have a little fun
The pace car's pacin' now the green flag's wavin'

Uh, oh another six-pack summer comin'
Sing to me babe I'll be your dashboard drummer and
Let's turn the radio up as loud it can go uhohhuoah
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Daddy Won't Sell The Farm,Montgomery Gentry,spotify:track:2Wt173KM9i97KSB52qCuqj,0.708,0.728,7,-7.039,1,0.0298,0.011,2.26E-05,0.0556,0.704,119.881,258640,4,33.81641,15,1,"His cows get loose and run right through the fast food parking lots
And Daddy gets calls from the mini-malls
When they're downwind from his hogs.
When his tractor backs up traffic, the reception ain't too warm.
The city's growing around him, but Daddy won't sell the farm.
You can't roll a rock, up a hill that steep.
You can't pull roots when they run that deep.
He's gonna live and die, in the eye of an urban storm.
Daddy won't sell the farm.

...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Move Along,The All-American Rejects,spotify:track:2l57cfmCnOkwNX1tky02n1,0.518,0.916,3,-3.858,1,0.0454,0.000148,0,0.291,0.646,109.864,238880,4,19.81215,10,1,"Go ahead as you waste your days with thinking
When you fall, everyone stands
Another day and you've had your fill of sinking
With the life held in your

Hands are shaking cold
These hands are meant to hold (speak to me)

When all you got to keep is strong
Move along, move along like I know ya do
And even when your hope is gone
Move along, move along just to make it through
Move along
Move along

So a day when you've lost yourself completely
Could be a night when your life ends
Such a heart that will lead you to deceiving
All the pain held in your

Hands are shaking cold
Your hands are mine to hold (speak to me)
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Apply Some Pressure,Maximo Park,spotify:track:19503qDaxgCdPL2BhJngij,0.378,0.953,9,-3.632,1,0.138,0.000719,2.89E-05,0.0936,0.512,167.808,200347,4,20.58661,12,0,"You know that I would love to see you next year
I hope that I am still alive next year
You magnify the way I think about myself
Before you came I rarely thought about myself

Behind your veil, I found a body underneath
Inside your head were things I never thought about
You know that I would love to see you next year
I hope that I am still alive next year

What's my view? Well, how am I supposed to know?
Write a review; well, how objective can I be?
What's my view? Well, how am I supposed to know?
Write a review; well, how objective can I be?

You know that I would love to see you in that dress
I hope that I will live to see you undressed
The everyday is part of what consumes me
The hate I feel is part of what fuels me

I testify to having guilty feelings
I must confess, I'd like to be caught stealing
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
