Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness,Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity Score,Lyrics
Clint Eastwood,Gorillaz,alternative hip hop,2001,168,69,66,-9,7,52,341,2,17,69,"Ooo ooo ooo ooo ooo
I ain't happy, I' m feelin glad
I got sunshine in a bag
I'm useless, but not for long the future is comin' on
I'm ain't happy, I' m feelin glad
I got sunshine in a bag
I'm useless, but not for long the future is comin' on,
It's comin' on, it's comin' on, it's comin' on, it's comin' on
Yeah, ha Ha HA!
Finally someone let me out a my cage
Now time for me is nothin' cuz I'm countin' no age
Naw I couldn't be there, now you shouldn't be scared
I'm good at repairs (s'all simple), and I'm under each snare
Intangible (aww dawg), bet you didn't think so I command you to
Panoramic view (you),
Look I'll make it all manageable
Pick and choose (hmph),
Sit and loose,
All you different crews.
Chicks and dudes,
So who you think is really kickin' tunes?
Picture you gettin down in tha picture tube,
Like you lit the fuse
You think it's fictional?
Mystical? maybe
Spiritual?
Hero who appears in you ta clear your view (yeah) but your too crazy
...

******* This Lyrics is NOT for Commercial use *******"
The Pretender,Foo Fighters,alternative metal,2007,173,96,43,-4,3,37,269,0,4,76,"Keep you in the dark
You know they all pretend
Keep you in the dark
And so it all began

Send in your skeletons
Sing as their bones go marching in again
They need you buried deep
The secrets that you keep are ever ready
Are you ready?

I'm finished making sense
Done pleading ignorance
That whole defense

Spinning infinity, boy
The wheel is spinning me
It's never-ending, never-ending
Same old story

What if I say I'm not like the others?
What if I say I'm not just another one of your plays?
You're the pretender
What if I say I will never surrender?

What if I say I'm not like the others?
What if I say I'm not just another one of your plays?
You're the pretender
What if I say that I'll never surrender?
...

******* This Lyrics is NOT for Commercial use *******"
The Road Ahead (Miles Of The Unknown),City To City,alternative pop rock,2004,99,46,54,-9,14,14,247,0,2,45,"The road ahead is empty
It's paved, with miles of the unknown
Whatever seems to be your destination
Take life the way it comes, take life the way it is

Horizon in the distance
So close, and yet so far away
You shouldn't be surprised when on arrival
The dream has flown away
And fear is not here to stay
...

******* This Lyrics is NOT for Commercial use *******"
She Will Be Loved,Maroon 5,pop,2002,102,71,71,-6,13,54,257,6,3,74,"Beauty queen of only eighteen
She had some trouble with herself
He was always there to help her
She always belonged to someone else
I drove for miles and miles
And wound up at your door
I've had you so many times but somehow
I want more
I don't mind spending everyday
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay awhile
And she will be loved
Tap on my window knock on my door
I want to make you feel beautiful
I know I tend to get so insecure
It doesn't matter anymore
...

******* This Lyrics is NOT for Commercial use *******"
Knights of Cydonia,Muse,modern rock,2006,137,96,37,-5,12,21,366,0,14,69,"Come ride with me
Through the veins of history
I'll show you how God
Falls asleep on the job

And how can we win
When fools can be kings?
Don't waste your time
...

******* This Lyrics is NOT for Commercial use *******"
Seven Nation Army,The White Stripes,alternative rock,2003,124,46,74,-8,26,32,232,1,8,74,"I'm gonna fight 'em all
A seven nation army couldn't hold me back
They're gonna rip it off
Taking their time right behind my back

And I'm talking to myself at night
Because I can't forget
Back and forth through my mind
Behind a cigarette

And a message coming from my eyes says leave it alone

...

******* This Lyrics is NOT for Commercial use *******"
I'm going home,Ten Years After,album rock,2005,117,93,38,-2,81,40,639,18,10,26,"Goin' home, my baby
Home, my baby
Home, my baby
Baby, baby I'm goin' home
Baby, baby I'm goin' home
'Cause my baby don't feel so good at home

Goin' home, my baby
Home, my baby
Home, my baby

Baby, baby I'm goin' home
See my baby, baby I'm goin' home
See my girl, yeah she's been really fine
'Cause I'm goin' home to see my baby
I'm goin' home to see my baby
Home, home to see my girl

Won't you tell me baby, why did you throw me off?
Tell me baby, why did you throw me off?
Oh, we're gonna have some fun

Baby please don't go
Baby please don't go
Baby please don't go
Baby please don't go
Please don't go, X

Oh my baby, with the red dress on
I love my baby with the red dress on
Shake it, and we're gonna have some fun, c'mon

It's one for the money
Two for the show
Better get ready now I'm coming back home

Don't you step on my blue suede shoes
You can do what you like
Stay off my blue suede shoes
...

******* This Lyrics is NOT for Commercial use *******"
Fluorescent Adolescent,Arctic Monkeys,garage rock,2007,112,81,65,-5,14,82,173,0,3,66,"You used to get it in your fishnets
Now you only get it in your night dress
Discarded all the naughty nights for niceness
Landed in a very common crisis

Everything's in order in a black hole
Nothing seems as pretty as the past though
That Bloody Mary's lacking in Tabasco
Remember when you used to be a rascal?

Oh, the boy's a slag, the best you ever had
The best you ever had is just a memory
And those dreams weren't as daft as they seem
Aren't as daft as they seem, my love
When you dream them up

Flicking through a little book of sex tips
Remember when the boys were all electric?
Now when she's told she's gonna get it
...

******* This Lyrics is NOT for Commercial use *******"
Uninvited,Alanis Morissette,alternative rock,2005,127,54,38,-5,9,19,276,2,3,57,"Like anyone would be
I am flattered by your fascination with me
Like any hot-blooded woman
I have simply wanted an object to crave
But you, you're not allowed
You're uninvited
An unfortunate slight

Must be strangely exciting
...

******* This Lyrics is NOT for Commercial use *******"
Fix You,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,81,"When you try your best, but you don't succeed
When you get what you want, but not what you need
When you feel so tired, but you can't sleep
Stuck in reverse
When the tears come streaming down your face
When you lose something you can't replace
When you love someone, but it goes to waste
Could it be worse?

Lights will guide you home
And ignite your bones
And I will try to fix you
...

******* This Lyrics is NOT for Commercial use *******"
