I Will Follow - Live,U2,irish rock,1987,140,90,23,-7,96,49,239,0,6,42,"I was on the outside when you said
You needed me
I was looking at myself
I was blind, I could not see

A boy tries hard to be a man
His mother takes him by the hand
If he stops to think, he starts to cry
Oh why?

If you walk away, walk away
I walk away, walk away
I will follow.
If you walk away, walk away
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
In the Dutch Mountains,Nits,dutch indie,1987,85,50,42,-11,6,27,206,55,3,44,"I was born in a valley of bricks
Where the river runs high above the rooftops.
I was waiting for the cars coming home late at night -
From the Dutch mountains.

I was standing in a valley of rock
Up to my belly in an early fog.
I was looking for the road to a green painted house -
In the Dutch mountains.
In the Dutch mountains
- Mountains -.

I met a woman in a valley of stone

She was painting roses on the walls of her home.
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Never Tear Us Apart,INXS,australian rock,1987,97,69,67,-6,17,28,186,5,3,60,"Don't ask me
What you know is true
Don't have to tell you
I love your precious heart

I
I was standing
You were there
Two worlds collided
And they could never tear us apart

We could live
For a thousand years
But if I hurt you
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Here I Go Again - 2018 Remaster,Whitesnake,album rock,1987,90,82,29,-7,16,24,275,1,4,65,"I don't know where I'm goin'
But I sure know where I've been
Hangin' on the promises in songs of yesterday
And I've made up my mind
I ain't wastin' no more time
Here I go again
Here I go again

Though I keep searchin' for an answer
I never did I find what I'm lookin' for
Ooh Lord, I pray you give me strength to carry on
'Cause I know what it means
To walk along the lonely street of dreams

Here I go again on my own
Goin' down the only road I've ever known
Like a drifter, I was born to walk alone
But I've made up my mind
I ain't wastin' no more time
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Running To Stand Still,U2,irish rock,1987,95,20,54,-19,33,23,257,86,3,55,"And so she woke up
Woke up from where she was lyin' still
Said I gotta do something
About where we're goin'

Step on a steam train
Step out of the driving rain maybe
Run from the darkness in the night
Singing ooh la, ah la la la de day
Ah la la la de day
Ah la la la de day

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,1987,119,82,71,-9,9,87,291,21,5,81,"Huh, yeah, woo!
Hey yeah, huh
Ooh yeah, uh-huh, yeah
I wanna dance

Clock strikes upon the hour
And the sun begins to fade
Still enough time to figure out
How to chase my blues away
I've done alright up 'til now
It's the light of day that shows me how
And when the night falls
The loneliness calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

I've been in love and lost to my senses
Spinning through the town
Sooner or later, the fever ends
And I wind up feeling down
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,pop,1987,114,85,88,-5,14,54,298,5,15,72,"Hee! hee!
Ooh!
Go on girl!
Aow!
Hee!

Hey pretty baby with the high heels on
You give me fever
Like I've never ever known
You're just a product of loveliness
I like the groove of your walk, your talk, your dress

I feel your fever
From miles around
I'll pick you up in my car
And we'll paint the town
Just kiss me baby
And tell me twice
That you're the one for me

The way you make me feel
(The way you make me feel)
You really turn me on
(You really turn me on)
You knock me off of my feet
(You knock me off of my feet)
My lonely days are gone
(My lonely days are gone) ugh, ugh

I like the feelin' you're givin' me
Just hold me baby and I'm in ecstasy
Oh, I'll be workin' from nine-to-five
To buy you things to keep you by my side

I never felt so in love before
Just promise baby, you'll love me forevermore
I swear I'm keepin' you satisfied
'Cause you're the one for me

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
The One I Love - Remastered,R.E.M.,alternative rock,1987,128,84,49,-5,35,56,198,0,4,63,"This one goes out to the one I love
This one goes out to the one I've left behind
A simple prop to occupy my time
This one goes out to the one I love

Fire
(She's comin' down on her own, now)
Fire
(She's comin' down on her own)

This one goes out to the one I love
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Bad - 2012 Remaster,Michael Jackson,pop,1987,114,89,79,-4,7,39,247,0,4,68,"Your butt is mine, gonna tell you right
Just show your face in broad daylight
I'm telling you on how I feel
Gonna hurt your mind, don't shoot to kill
Shamone, Shamone
Lay it on me, all right

I'm giving you on count of three
To show your stuff or let it be
I'm telling you, just watch your mouth
I know your game, what you're about

Well they say the sky's the limit
And to me that's really true
But my friend you have seen nothing
Just wait 'til I get through

Because I'm bad, I'm bad (Shamone, really, really bad)
You know I'm bad, I'm bad
You know it (Really, really bad)
You know I'm bad, I'm bad (Shamone)
You know (Really, really bad)
And the whole world has to answer right now
Just to tell you once again, who's bad?

The word is out, you're doing wrong
Gonna lock you up before too long
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
The Cross,Prince,funk,1987,99,64,44,-7,64,25,286,53,6,42,"Black day, stormy night
No love, no hope in sight
Don't cry, he is coming
Don't die without knowing the cross
Ghettos 2 the left of us
Flowers 2 the right
There'll be bread 4 all of us
If we can just bear the cross

Sweet song of salvation
A pregnant mother sings
She lives in starvation
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
